t,s,v,a,j
0.1080,97.8658,19.5315,-4.3000,0.0000
0.1090,97.8462,19.5272,-4.3000,0.0000
0.1100,97.8267,19.5229,-4.3000,0.0000
0.1110,97.8072,19.5186,-4.3000,0.0000
0.1120,97.7877,19.5143,-4.3000,0.0000
0.1130,97.7682,19.5100,-4.3000,0.0000
0.1140,97.7487,19.5057,-4.3000,0.0000
0.1150,97.7292,19.5014,-4.3000,0.0000
0.1160,97.7097,19.4971,-4.3000,0.0000
0.1170,97.6902,19.4928,-4.3000,0.0000
0.1180,97.6707,19.4885,-4.3000,0.0000
0.1190,97.6512,19.4842,-4.3000,0.0000
0.1200,97.6317,19.4799,-4.3000,0.0000
0.1210,97.6123,19.4757,-4.2000,100.0000
0.1220,97.5928,19.4715,-4.2000,0.0000
0.1230,97.5733,19.4673,-4.2000,0.0000
0.1240,97.5539,19.4631,-4.2000,0.0000
0.1250,97.5344,19.4589,-4.2000,0.0000
0.1260,97.5150,19.4547,-4.2000,0.0000
0.1270,97.4955,19.4505,-4.2000,0.0000
0.1280,97.4761,19.4463,-4.2000,0.0000
0.1290,97.4566,19.4421,-4.2000,0.0000
0.1300,97.4372,19.4379,-4.2000,0.0000
0.1310,97.4178,19.4337,-4.2000,0.0000
0.1320,97.3983,19.4295,-4.2000,0.0000
0.1330,97.3789,19.4253,-4.2000,0.0000
0.1340,97.3595,19.4211,-4.2000,0.0000
0.1350,97.3401,19.4169,-4.2000,0.0000
0.1360,97.3207,19.4127,-4.2000,0.0000
0.1370,97.3013,19.4085,-4.2000,0.0000
0.1380,97.2819,19.4043,-4.2000,0.0000
0.1390,97.2625,19.4001,-4.2000,0.0000
0.1400,97.2431,19.3959,-4.2000,0.0000
0.1410,97.2237,19.3917,-4.2000,0.0000
0.1420,97.2043,19.3875,-4.2000,0.0000
0.1430,97.1849,19.3833,-4.2000,0.0000
0.1440,97.1655,19.3791,-4.2000,0.0000
0.1450,97.1462,19.3749,-4.2000,0.0000
0.1460,97.1268,19.3707,-4.2000,0.0000
0.1470,97.1074,19.3665,-4.2000,0.0000
0.1480,97.0881,19.3623,-4.2000,0.0000
0.1490,97.0687,19.3581,-4.2000,0.0000
0.1500,97.0494,19.3539,-4.2000,0.0000
0.1510,97.0300,19.3497,-4.2000,0.0000
0.1520,97.0107,19.3455,-4.2000,0.0000
0.1530,96.9913,19.3413,-4.2000,0.0000
0.1540,96.9720,19.3371,-4.2000,0.0000
0.1550,96.9527,19.3329,-4.2000,0.0000
0.1560,96.9333,19.3287,-4.2000,0.0000
0.1570,96.9140,19.3245,-4.2000,0.0000
0.1580,96.8947,19.3203,-4.2000,0.0000
0.1590,96.8754,19.3161,-4.2000,0.0000
0.1600,96.8561,19.3119,-4.2000,0.0000
0.1610,96.8368,19.3077,-4.2000,0.0000
0.1620,96.8175,19.3035,-4.2000,0.0000
0.1630,96.7982,19.2993,-4.2000,0.0000
0.1640,96.7789,19.2951,-4.2000,0.0000
0.1650,96.7596,19.2909,-4.2000,0.0000
0.1660,96.7403,19.2867,-4.2000,0.0000
0.1670,96.7210,19.2825,-4.2000,0.0000
0.1680,96.7017,19.2783,-4.2000,0.0000
0.1690,96.6825,19.2741,-4.2000,0.0000
0.1700,96.6632,19.2699,-4.2000,0.0000
0.1710,96.6439,19.2657,-4.2000,0.0000
0.1720,96.6247,19.2615,-4.2000,0.0000
0.1730,96.6054,19.2573,-4.2000,0.0000
0.1740,96.5862,19.2531,-4.2000,0.0000
0.1750,96.5669,19.2489,-4.2000,0.0000
0.1760,96.5477,19.2447,-4.2000,0.0000
0.1770,96.5284,19.2405,-4.2000,0.0000
0.1780,96.5092,19.2363,-4.2000,0.0000
0.1790,96.4900,19.2321,-4.2000,0.0000
0.1800,96.4708,19.2279,-4.2000,0.0000
0.1810,96.4515,19.2237,-4.2000,0.0000
0.1820,96.4323,19.2195,-4.2000,0.0000
0.1830,96.4131,19.2153,-4.2000,0.0000
0.1840,96.3939,19.2111,-4.2000,0.0000
0.1850,96.3747,19.2070,-4.1000,100.0000
0.1860,96.3555,19.2029,-4.1000,0.0000
0.1870,96.3363,19.1988,-4.1000,0.0000
0.1880,96.3171,19.1947,-4.1000,0.0000
0.1890,96.2979,19.1906,-4.1000,0.0000
0.1900,96.2787,19.1865,-4.1000,0.0000
0.1910,96.2595,19.1824,-4.1000,0.0000
0.1920,96.2404,19.1783,-4.1000,0.0000
0.1930,96.2212,19.1742,-4.1000,0.0000
0.1940,96.2020,19.1701,-4.1000,0.0000
0.1950,96.1829,19.1660,-4.1000,0.0000
0.1960,96.1637,19.1619,-4.1000,0.0000
0.1970,96.1445,19.1578,-4.1000,0.0000
0.1980,96.1254,19.1537,-4.1000,0.0000
0.1990,96.1062,19.1496,-4.1000,0.0000
0.2000,96.0871,19.1455,-4.1000,0.0000
0.2010,96.0680,19.1414,-4.1000,0.0000
0.2020,96.0488,19.1373,-4.1000,0.0000
0.2030,96.0297,19.1332,-4.1000,0.0000
0.2040,96.0106,19.1291,-4.1000,0.0000
0.2050,95.9915,19.1250,-4.1000,0.0000
0.2060,95.9723,19.1209,-4.1000,0.0000
0.2070,95.9532,19.1168,-4.1000,0.0000
0.2080,95.9341,19.1127,-4.1000,0.0000
0.2090,95.9150,19.1086,-4.1000,0.0000
0.2100,95.8959,19.1045,-4.1000,0.0000
0.2110,95.8768,19.1004,-4.1000,0.0000
0.2120,95.8577,19.0963,-4.1000,0.0000
0.2130,95.8386,19.0922,-4.1000,0.0000
0.2140,95.8195,19.0881,-4.1000,0.0000
0.2150,95.8004,19.0840,-4.1000,0.0000
0.2160,95.7814,19.0799,-4.1000,0.0000
0.2170,95.7623,19.0758,-4.1000,0.0000
0.2180,95.7432,19.0717,-4.1000,0.0000
0.2190,95.7242,19.0676,-4.1000,0.0000
0.2200,95.7051,19.0635,-4.1000,0.0000
0.2210,95.6860,19.0594,-4.1000,0.0000
0.2220,95.6670,19.0553,-4.1000,0.0000
0.2230,95.6479,19.0512,-4.1000,0.0000
0.2240,95.6289,19.0471,-4.1000,0.0000
0.2250,95.6099,19.0430,-4.1000,0.0000
0.2260,95.5908,19.0389,-4.1000,0.0000
0.2270,95.5718,19.0348,-4.1000,0.0000
0.2280,95.5528,19.0307,-4.1000,0.0000
0.2290,95.5337,19.0266,-4.1000,0.0000
0.2300,95.5147,19.0225,-4.1000,0.0000
0.2310,95.4957,19.0184,-4.1000,0.0000
0.2320,95.4767,19.0143,-4.1000,0.0000
0.2330,95.4577,19.0102,-4.1000,0.0000
0.2340,95.4387,19.0061,-4.1000,0.0000
0.2350,95.4197,19.0020,-4.1000,0.0000
0.2360,95.4007,18.9979,-4.1000,0.0000
0.2370,95.3817,18.9938,-4.1000,0.0000
0.2380,95.3627,18.9897,-4.1000,0.0000
0.2390,95.3437,18.9856,-4.1000,0.0000
0.2400,95.3247,18.9815,-4.1000,0.0000
0.2410,95.3058,18.9774,-4.1000,0.0000
0.2420,95.2868,18.9733,-4.1000,0.0000
0.2430,95.2678,18.9692,-4.1000,0.0000
0.2440,95.2489,18.9651,-4.1000,0.0000
0.2450,95.2299,18.9610,-4.1000,0.0000
0.2460,95.2109,18.9569,-4.1000,0.0000
0.2470,95.1920,18.9528,-4.1000,0.0000
0.2480,95.1730,18.9487,-4.1000,0.0000
0.2490,95.1541,18.9446,-4.1000,0.0000
0.2500,95.1352,18.9405,-4.1000,0.0000
0.2510,95.1162,18.9364,-4.1000,0.0000
0.2520,95.0973,18.9323,-4.1000,0.0000
0.2530,95.0784,18.9282,-4.1000,0.0000
0.2540,95.0594,18.9241,-4.1000,0.0000
0.2550,95.0405,18.9200,-4.1000,0.0000
0.2560,95.0216,18.9159,-4.1000,0.0000
0.2570,95.0027,18.9119,-4.0000,100.0000
0.2580,94.9838,18.9079,-4.0000,0.0000
0.2590,94.9649,18.9039,-4.0000,0.0000
0.2600,94.9460,18.8999,-4.0000,0.0000
0.2610,94.9271,18.8959,-4.0000,0.0000
0.2620,94.9082,18.8919,-4.0000,0.0000
0.2630,94.8893,18.8879,-4.0000,0.0000
0.2640,94.8704,18.8839,-4.0000,0.0000
0.2650,94.8516,18.8799,-4.0000,0.0000
0.2660,94.8327,18.8759,-4.0000,0.0000
0.2670,94.8138,18.8719,-4.0000,0.0000
0.2680,94.7950,18.8679,-4.0000,0.0000
0.2690,94.7761,18.8639,-4.0000,0.0000
0.2700,94.7572,18.8599,-4.0000,0.0000
0.2710,94.7384,18.8559,-4.0000,0.0000
0.2720,94.7195,18.8519,-4.0000,0.0000
0.2730,94.7007,18.8479,-4.0000,0.0000
0.2740,94.6819,18.8439,-4.0000,0.0000
0.2750,94.6630,18.8399,-4.0000,0.0000
0.2760,94.6442,18.8359,-4.0000,0.0000
0.2770,94.6253,18.8319,-4.0000,0.0000
0.2780,94.6065,18.8279,-4.0000,0.0000
0.2790,94.5877,18.8239,-4.0000,0.0000
0.2800,94.5689,18.8199,-4.0000,0.0000
0.2810,94.5501,18.8159,-4.0000,0.0000
0.2820,94.5313,18.8119,-4.0000,0.0000
0.2830,94.5125,18.8079,-4.0000,0.0000
0.2840,94.4937,18.8039,-4.0000,0.0000
0.2850,94.4749,18.7999,-4.0000,0.0000
0.2860,94.4561,18.7959,-4.0000,0.0000
0.2870,94.4373,18.7919,-4.0000,0.0000
0.2880,94.4185,18.7879,-4.0000,0.0000
0.2890,94.3997,18.7839,-4.0000,0.0000
0.2900,94.3809,18.7799,-4.0000,0.0000
0.2910,94.3622,18.7759,-4.0000,0.0000
0.2920,94.3434,18.7719,-4.0000,0.0000
0.2930,94.3246,18.7679,-4.0000,0.0000
0.2940,94.3059,18.7639,-4.0000,0.0000
0.2950,94.2871,18.7599,-4.0000,0.0000
0.2960,94.2683,18.7559,-4.0000,0.0000
0.2970,94.2496,18.7519,-4.0000,0.0000
0.2980,94.2308,18.7479,-4.0000,0.0000
0.2990,94.2121,18.7439,-4.0000,0.0000
0.3000,94.1934,18.7399,-4.0000,0.0000
0.3010,94.1746,18.7359,-4.0000,0.0000
0.3020,94.1559,18.7319,-4.0000,0.0000
0.3030,94.1372,18.7279,-4.0000,0.0000
0.3040,94.1185,18.7239,-4.0000,0.0000
0.3050,94.0997,18.7199,-4.0000,0.0000
0.3060,94.0810,18.7159,-4.0000,0.0000
0.3070,94.0623,18.7119,-4.0000,0.0000
0.3080,94.0436,18.7079,-4.0000,0.0000
0.3090,94.0249,18.7039,-4.0000,0.0000
0.3100,94.0062,18.6999,-4.0000,0.0000
0.3110,93.9875,18.6959,-4.0000,0.0000
0.3120,93.9688,18.6919,-4.0000,0.0000
0.3130,93.9501,18.6879,-4.0000,0.0000
0.3140,93.9315,18.6839,-4.0000,0.0000
0.3150,93.9128,18.6799,-4.0000,0.0000
0.3160,93.8941,18.6759,-4.0000,0.0000
0.3170,93.8754,18.6719,-4.0000,0.0000
0.3180,93.8568,18.6679,-4.0000,0.0000
0.3190,93.8381,18.6639,-4.0000,0.0000
0.3200,93.8194,18.6599,-4.0000,0.0000
0.3210,93.8008,18.6559,-4.0000,0.0000
0.3220,93.7821,18.6519,-4.0000,0.0000
0.3230,93.7635,18.6479,-4.0000,0.0000
0.3240,93.7449,18.6439,-4.0000,0.0000
0.3250,93.7262,18.6399,-4.0000,0.0000
0.3260,93.7076,18.6359,-4.0000,0.0000
0.3270,93.6890,18.6319,-4.0000,0.0000
0.3280,93.6703,18.6279,-4.0000,0.0000
0.3290,93.6517,18.6239,-4.0000,0.0000
0.3300,93.6331,18.6199,-4.0000,0.0000
0.3310,93.6145,18.6159,-4.0000,0.0000
0.3320,93.5959,18.6119,-4.0000,0.0000
0.3330,93.5773,18.6079,-4.0000,0.0000
0.3340,93.5587,18.6039,-4.0000,0.0000
0.3350,93.5401,18.5999,-4.0000,0.0000
0.3360,93.5215,18.5959,-4.0000,0.0000
0.3370,93.5029,18.5919,-4.0000,0.0000
0.3380,93.4843,18.5879,-4.0000,0.0000
0.3390,93.4657,18.5839,-4.0000,0.0000
0.3400,93.4471,18.5800,-3.9000,100.0000
0.3410,93.4286,18.5761,-3.9000,0.0000
0.3420,93.4100,18.5722,-3.9000,0.0000
0.3430,93.3914,18.5683,-3.9000,0.0000
0.3440,93.3729,18.5644,-3.9000,0.0000
